Test,mean_percent_correct,std_percent_correct,count,Rank
3_3,53.333333333333336,17.227597727390492,10,1
5_5,46.2,24.769654871821196,10,2
6_6,44.166666666666664,7.288689868556625,9,3
0_0,32.14809125561814,6.869809502510358,9,4
1_1,29.723416694386483,8.860064396836869,9,5
4_4,26.583333333333332,23.10673703265557,10,6
2_2,19.475452196382427,16.925827041133928,9,7
