Test,mean_percent_correct,std_percent_correct,count,Rank,Test_Description
3_3,46.414673046252,6.53566239191044,11,1,Counterfactual
6_6,43.1060606060606,7.87128138914311,11,2,Money
5_5,34.193624557260925,20.721592625397427,11,3,Few-shots
1_1,29.773704568134395,8.467703330271085,11,4,Chain-of-thought (silent)
0_0,29.636317087929992,8.339099382429433,11,5,Plain
4_4,20.883774453394707,18.730475968019533,11,6,Chain-of-thought (self-exp.)
2_2,16.540521494009866,16.48712519053469,11,7,Chain-of-thought (revealed)
