Model_Description,mean_correct,std_correct,count,Rank
GPT 4o,48.956043956043956,18.33407957354471,63,1
GPT 4o-mini,45.20634920634921,22.654284139247284,63,2
GPT 3.5,31.506953687577493,16.527635172985985,77,3
GPT 4,21.091835512888142,14.345868382318143,63,4
